Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0002-ORFBO,Female,-0.5677732238554163,Yes,-0.48683490444316896,Frazier Park,-0.1406148598631791,-0.554852024428823,0.35167825852159373,0.01603902658248947,-0.9529936158621222,Offer B,Yes,1.2575322226593204,No,Yes,Cable,-0.5878687777378049,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,0.06422137036124592,-0.7444999614321612,-0.24831296685183657,-0.2733003739486541,-0.43419476145750335,-0.7188719881721777,Stayed,Competitor,Competitor had better devices
0004-TLHLJ,Male,0.20838498870976369,No,-0.48683490444316896,Costa Mesa,-0.4627028199080953,-1.0336321245380973,0.8513644312324073,-0.6504085499394767,-1.1567399515040244,Offer E,Yes,0.6098500413681033,No,Yes,Fiber Optic,0.21980507503021546,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.3302254604943005,-0.8823824795771346,-0.24831296685183657,-0.2733003739486541,-0.7258437287369303,-0.9141110039126726,Churned,Competitor,Competitor had better devices
0011-IGKFF,Male,1.880110369619382,Yes,-0.48683490444316896,Martinez,0.5746573992332236,0.7359998686732657,-1.094916600091735,-0.31718476167849363,-0.7899965473486005,Offer D,Yes,0.1778149021315136,No,Yes,Fiber Optic,-1.2801606515389652,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.1025987824469037,-0.4600634849708314,-0.24831296685183657,-0.2733003739486541,-0.4576414910370935,-0.5008266986750967,Churned,Dissatisfaction,Product dissatisfaction
0015-UOCOJ,Female,1.2830655907230897,No,-0.48683490444316896,Simi Valley,-0.2278694577348788,-0.7698791713276179,0.4971427030363774,-0.6504085499394767,-1.034492150118883,Offer E,Yes,-1.103469413031546,No,Yes,DSL,-0.2994138303206548,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,-0.4934257583514218,-0.8561254469971188,-0.24831296685183657,-0.2733003739486541,-0.7977667193717539,-0.9145961695160038,Stayed,Competitor,Competitor had better devices
0017-DINOC,Male,0.029271555040876,No,-0.48683490444316896,Rancho Santa Fe,-0.7513970449650771,-1.2977783936625882,1.1834914578615485,-0.6504085499394767,0.8807234049149972,Offer B,No,2.6327566876300373e-16,No,Yes,Cable,-0.934014714638385,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,-0.5895718150260196,0.07950750218186142,-0.24831296685183657,-0.2733003739486541,-0.884832635609114,-0.20028929501163156,Stayed,Competitor,Competitor had better devices
0018-NYROU,Female,0.6860208118267975,Yes,-0.48683490444316896,Antelope,1.2694625304337954,1.0199654522743997,-0.7458330342479885,-0.6504085499394767,-1.115990684375644,Offer B,Yes,-0.5017326496351295,No,Yes,Fiber Optic,-0.934014714638385,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.17158446698121388,-0.8512050114800234,-0.24831296685183657,-0.2733003739486541,-0.7746861603800566,-0.9038841318424558,Stayed,Competitor,Competitor had better devices
0019-GFNTW,Female,-0.4483642680761578,No,-0.48683490444316896,Los Olivos,-0.02427539603424613,-0.6048051708223401,-0.12505677486463834,-0.6504085499394767,0.962221939171758,Offer B,No,2.6327566876300373e-16,No,Yes,DSL,-0.4147958092875148,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,-0.5943791178597497,0.12343838610355146,-0.24831296685183657,-0.2733003739486541,-0.884832635609114,-0.16554236277306209,Stayed,Competitor,Competitor had better devices
0021-IKXGC,Female,1.5218835022816066,No,-0.48683490444316896,San Marcos,-0.7583989571399666,-1.2469559826434515,1.2025628645146722,-0.6504085499394767,-1.2789877528891658,Offer E,Yes,-1.308000628176141,Yes,Yes,Fiber Optic,-0.24172284083722473,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,0.2725378264895414,-0.9745027409397947,-0.24831296685183657,-0.2733003739486541,-0.8756547470028965,-1.0312418479168834,Joined,Competitor,Competitor had better devices
0022-TCJCI,Male,1.9398148475090113,No,-0.48683490444316896,Daly City,0.28488595691856644,0.6008656750356247,-1.264754938254867,-0.6504085499394767,0.5139800007595733,Offer B,Yes,-1.0930946412488494,No,Yes,DSL,-0.5301777882543749,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,-0.0287198177575318,0.22555397163322605,-0.24831296685183657,-0.2733003739486541,-0.31768164278088973,0.0828170509321532,Churned,Dissatisfaction,Limited range of services
0023-HGHWL,Male,1.2233611128334605,No,-0.48683490444316896,Morgan Hill,0.8353439755906473,0.3905165976434751,-0.8785739237825612,-0.6504085499394767,-1.2789877528891658,Offer B,No,2.6327566876300373e-16,No,Yes,Cable,-0.991705704121815,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-1.2337503947458257,-0.9952435902046811,-0.24831296685183657,-0.2733003739486541,-0.884832635609114,-1.0503587688481386,Churned,Competitor,Competitor made better offer
0023-UYUPN,Female,1.9398148475090113,Yes,-0.48683490444316896,Ahwahnee,0.06190198457977828,0.4773101996287838,0.007774632481719266,-0.6504085499394767,0.7177263364014754,Offer B,Yes,0.44533580309962495,Yes,No,Fiber Optic,0.0,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,-1.230545526190006,-0.429856865137183,-0.24831296685183657,-0.2733003739486541,0.971416005918647,-0.05465235401170035,Stayed,Competitor,Competitor had better devices
0030-FNXPP,Female,-1.4633403921998547,No,-0.48683490444316896,Keeler,0.02366077193230495,0.14705526205664482,0.8328672324417569,-0.6504085499394767,-1.1974892186324049,Offer B,Yes,-1.652591262387143,No,No,Fiber Optic,0.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,-1.4020059939263723,-0.9810780314514289,-0.24831296685183657,-0.2733003739486541,-0.8737766462456397,-1.0358875703487804,Joined,Competitor,Competitor had better devices
0031-PVLZI,Female,-0.7468866575243039,Yes,-0.48683490444316896,Korbel,1.111650202184363,1.8507904346298627,-1.8790088090564239,-0.6504085499394767,-1.1567399515040244,Offer E,Yes,-0.9626689388378032,No,No,Fiber Optic,0.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,-1.3859816511472725,-0.9726272386126508,-0.24831296685183657,-0.2733003739486541,-0.8261035980928808,-1.015116199806166,Churned,Price,Long distance charges
0058-EVZWM,Female,-0.5677732238554163,Yes,-0.48683490444316896,Stockton,0.9279846597507236,0.7481784848120524,-0.7387016232607219,0.01603902658248947,0.9214726720433777,Offer B,Yes,-1.5073444574293875,Yes,Yes,Fiber Optic,-0.991705704121815,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.8397995608696692,1.182324935275782,-0.24831296685183657,-0.2733003739486541,-0.5548066283276272,0.7695008996468679,Stayed,Competitor,Competitor had better devices
